ID,numid,weighted_current
G190,"190",0.660191963630383
G191,"191",0.435685021587565
G192,"192",0.450540105519229
G193,"193",0.488071432328732
G194,"194",0.566525395263131
G195,"195",0.631217167550049
G196,"196",0.711768340342938
G197,"197",0.675381983142948
G198,"198",0.639640954211149
G199,"199",0.400882353551519
G2,"2",0.435722316694686
G20,"20",0.417506464407811
G200,"200",0.379016237292903
G201,"201",0.344706390064991
G202,"202",0.319731478773161
G203,"203",0.343986823997416
G204,"204",0.410130163091293
G205,"205",0.422344412866878
G206,"206",0.355269497892048
G207,"207",0.362777888092797
G208,"208",0.365585204531455
G209,"209",0.363749605000933
G21,"21",0.412307215355173
G210,"210",0.761867930921018
G211,"211",0.809623879345601
G212,"212",0.858619296917865
G213,"213",0.880762165374059
G214,"214",0.881716432545054
G215,"215",0.827446073556525
G216,"216",0.717747132922228
G217,"217",0.44609539028665
G218,"218",0.47895438238116
G219,"219",0.53865491760641
G22,"22",0.408858932684453
G220,"220",0.612177520989926
G221,"221",0.693939056486681
G222,"222",0.741159688345065
G223,"223",0.710047699327243
G224,"224",0.664815671347523
G225,"225",0.623338922576574
G226,"226",0.392013251916454
G227,"227",0.357766621457274
G228,"228",0.323306756828246
G229,"229",0.334804254376511
G23,"23",0.40731172771041
G230,"230",0.359338610082881
G231,"231",0.408856757407381
G232,"232",0.425575923528763
G233,"233",0.431559644198481
G234,"234",0.42926036579616
G235,"235",0.359176401239563
G236,"236",0.363129981369565
G237,"237",0.36246718419858
G238,"238",0.66900252695787
G239,"239",0.857759912802266
G24,"24",0.411483468980279
G240,"240",0.886846587107681
G241,"241",0.898430677602444
G242,"242",0.88593007327594
G243,"243",0.784643713923694
G244,"244",0.569125152280015
G245,"245",0.458066103865833
G246,"246",0.519671792315655
G247,"247",0.596660640751815
G248,"248",0.669850535186918
G249,"249",0.745320899232146
G25,"25",0.406666031677514
G250,"250",0.770610098024836
G251,"251",0.741018133188002
G252,"252",0.696356113739249
G253,"253",0.654258229245525
G254,"254",0.597631764935641
G255,"255",0.402827479128161
G256,"256",0.370604321743269
G257,"257",0.32718824582027
G258,"258",0.355918024174736
G259,"259",0.380899193965975
G26,"26",0.40519280761582
G260,"260",0.407830264622224
G261,"261",0.428448640296257
G262,"262",0.440579721903802
G263,"263",0.436923858844444
G264,"264",0.42759069445511
G265,"265",0.361668026067798
G266,"266",0.360864724989
G267,"267",0.355911440301808
G268,"268",0.625096227351478
G269,"269",0.799019833300147
G27,"27",0.40691544336877
G270,"270",0.84577075738647
G271,"271",0.885789482941746
G272,"272",0.906018318165751
G273,"273",0.904527488979451
G274,"274",0.854180603721575
G275,"275",0.744767987311578
G276,"276",0.59439506010221
